"INSTANCE","DATETIME","DATA"
1,"07/05/2020 00:00",4047
1,"07/05/2020 01:00",3821
1,"07/05/2020 02:01",3655
1,"07/05/2020 03:01",3548
1,"07/05/2020 04:01",3469
1,"07/05/2020 05:01",3445
1,"07/05/2020 06:01",3455
1,"07/05/2020 07:01",3444
1,"07/05/2020 08:01",3455
1,"07/05/2020 09:01",3372
1,"07/05/2020 10:00",3465
1,"07/05/2020 11:00",3626
1,"07/05/2020 12:00",3730
1,"07/05/2020 13:00",3876
1,"07/05/2020 14:00",4039
1,"07/05/2020 15:00",4098
1,"07/05/2020 16:00",4135
1,"07/05/2020 17:00",4130
1,"07/05/2020 18:00",4203
1,"07/05/2020 19:00",4188
1,"07/05/2020 20:00",4175
1,"07/05/2020 21:00",4196
1,"07/05/2020 22:00",4194
1,"07/05/2020 23:00",4043
1,"08/05/2020 00:00",3981
1,"08/05/2020 01:00",3829
1,"08/05/2020 02:01",3684
1,"08/05/2020 03:01",3595
1,"08/05/2020 04:01",3500
1,"08/05/2020 05:01",3491
1,"08/05/2020 06:01",3438
1,"08/05/2020 07:00",3543
1,"08/05/2020 08:00",3520
1,"08/05/2020 09:00",3545
1,"08/05/2020 10:00",3552
1,"08/05/2020 11:00",3709
1,"08/05/2020 12:00",3844
1,"08/05/2020 13:01",4002
1,"08/05/2020 14:01",4133
1,"08/05/2020 15:01",4196
1,"08/05/2020 16:01",4149
1,"08/05/2020 17:00",4225
1,"08/05/2020 18:00",4208
1,"08/05/2020 19:00",4216
1,"08/05/2020 20:00",4219
1,"08/05/2020 21:00",4184
1,"08/05/2020 22:00",4188
1,"08/05/2020 23:00",4084
1,"09/05/2020 00:00",3967
1,"09/05/2020 01:00",3836
1,"09/05/2020 02:00",3726
1,"09/05/2020 03:00",3638
1,"09/05/2020 04:00",3519
1,"09/05/2020 05:00",3394
1,"09/05/2020 06:00",3395
1,"09/05/2020 07:00",3238
1,"09/05/2020 08:00",3282
1,"09/05/2020 09:00",3309
1,"09/05/2020 10:00",3259
1,"09/05/2020 11:00",3312
1,"09/05/2020 12:01",3423
1,"09/05/2020 13:01",3592
1,"09/05/2020 14:01",3717
1,"09/05/2020 15:01",3818
1,"09/05/2020 16:01",3944
1,"09/05/2020 17:01",3889
1,"09/05/2020 18:00",3951
1,"09/05/2020 19:00",3959
1,"09/05/2020 20:01",3874
1,"09/05/2020 21:00",3850
1,"09/05/2020 22:01",3869
1,"09/05/2020 23:00",4029
1,"10/05/2020 00:00",4009
1,"10/05/2020 01:00",3934
