
"INSTANCE_NUMBER","SGA","PGA","TOT","TIME"
1,206,45,251,"20/12/2020 23:00"
1,206,45,251,"21/12/2020 00:00"
1,206,45,251,"21/12/2020 01:00"
1,206,45,251,"21/12/2020 02:00"
1,206,45,251,"21/12/2020 03:00"
1,206,45,251,"21/12/2020 04:00"
1,206,45,251,"21/12/2020 05:00"
1,206,45,251,"21/12/2020 06:00"
1,206,45,251,"21/12/2020 07:00"
1,206,45,251,"21/12/2020 08:00"
1,206,45,251,"21/12/2020 09:00"
1,206,45,251,"21/12/2020 10:00"
1,206,45,251,"21/12/2020 11:00"
1,206,45,251,"21/12/2020 12:00"
1,206,45,251,"21/12/2020 13:00"
1,206,45,251,"21/12/2020 14:00"
1,206,45,251,"21/12/2020 15:00"
1,206,45,251,"21/12/2020 16:00"
1,206,45,251,"21/12/2020 17:00"
1,206,45,251,"21/12/2020 18:00"
1,206,45,251,"21/12/2020 19:00"
1,206,45,251,"21/12/2020 20:00"
1,206,45,251,"21/12/2020 21:00"
1,206,45,251,"21/12/2020 22:00"
1,206,45,251,"21/12/2020 23:00"
1,206,45,251,"22/12/2020 00:00"
1,206,45,251,"22/12/2020 01:00"
1,206,45,251,"22/12/2020 02:00"
1,206,45,251,"22/12/2020 03:00"
1,206,44,250,"22/12/2020 04:00"
1,206,44,250,"22/12/2020 05:00"
1,206,45,251,"22/12/2020 06:00"
1,206,45,251,"22/12/2020 07:00"
1,206,45,251,"22/12/2020 08:00"
1,206,45,251,"22/12/2020 09:00"
1,206,45,251,"22/12/2020 10:00"
1,206,44,250,"22/12/2020 11:00"
1,206,45,251,"22/12/2020 12:00"
1,206,45,251,"22/12/2020 13:00"
1,206,45,251,"22/12/2020 14:00"
1,206,45,251,"22/12/2020 15:00"
1,206,45,251,"22/12/2020 16:00"
1,206,45,251,"22/12/2020 17:00"
1,206,45,251,"22/12/2020 18:00"
1,206,45,251,"22/12/2020 19:00"
1,206,44,250,"22/12/2020 20:00"
1,206,44,250,"22/12/2020 21:00"
1,206,45,251,"22/12/2020 22:00"
1,206,45,251,"22/12/2020 23:00"
1,206,45,251,"23/12/2020 00:00"
1,206,46,252,"23/12/2020 01:00"
1,206,45,251,"23/12/2020 02:00"
1,206,45,251,"23/12/2020 03:00"
1,206,45,251,"23/12/2020 04:00"
1,206,45,251,"23/12/2020 05:00"
1,206,45,251,"23/12/2020 06:00"
